cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
231.68516649848638,347.52774974772956,0,147.32593340060546,5.549949545913219,804.2381432896065,943.4914228052472,3,53.72197802197802
233.8085539714868,280.5702647657841,70.14256619144604,139.5112016293279,5.60081466395112,811.6089613034623,952.1384928716903,3,67.07417582417582
235.4871794871795,211.93846153846152,141.29230769230773,133.33333333333334,5.641025641025641,817.4358974358973,958.974358974359,3,61.582967032967034
236.70103092783506,142.02061855670104,213.03092783505153,128.86597938144328,5.6701030927835046,821.6494845360825,963.9175257731958,3,48.919780219780215
237.6811594202899,71.3043478260869,285.21739130434787,125.25879917184265,5.693581780538302,825.0517598343686,967.9089026915115,3,38.07307692307692
238.66943866943868,0,358.00415800415794,121.62162162162163,5.717255717255718,828.4823284823285,971.9334719334719,3,33.42747252747253
231.68516649848638,347.52774974772956,0,147.32593340060546,5.549949545913219,804.2381432896065,943.4914228052472,7,73.84945054945054
233.8085539714868,280.5702647657841,70.14256619144604,139.5112016293279,5.60081466395112,811.6089613034623,952.1384928716903,7,80.96923076923076
235.4871794871795,211.93846153846152,141.29230769230773,133.33333333333334,5.641025641025641,817.4358974358973,958.974358974359,7,73.17087912087912
236.70103092783506,142.02061855670104,213.03092783505153,128.86597938144328,5.6701030927835046,821.6494845360825,963.9175257731958,7,67.62747252747252
237.6811594202899,71.3043478260869,285.21739130434787,125.25879917184265,5.693581780538302,825.0517598343686,967.9089026915115,7,55.72637362637362
238.66943866943868,0,358.00415800415794,121.62162162162163,5.717255717255718,828.4823284823285,971.9334719334719,7,42.060989010989005
231.68516649848638,347.52774974772956,0,147.32593340060546,5.549949545913219,804.2381432896065,943.4914228052472,28,85.25989010989011
233.8085539714868,280.5702647657841,70.14256619144604,139.5112016293279,5.60081466395112,811.6089613034623,952.1384928716903,28,84.9467032967033
235.4871794871795,211.93846153846152,141.29230769230773,133.33333333333334,5.641025641025641,817.4358974358973,958.974358974359,28,77.59725274725274
236.70103092783506,142.02061855670104,213.03092783505153,128.86597938144328,5.6701030927835046,821.6494845360825,963.9175257731958,28,73.11868131868133
237.6811594202899,71.3043478260869,285.21739130434787,125.25879917184265,5.693581780538302,825.0517598343686,967.9089026915115,28,63.74395604395604
238.66943866943868,0,358.00415800415794,121.62162162162163,5.717255717255718,828.4823284823285,971.9334719334719,28,61.89615384615384
231.68516649848638,347.52774974772956,0,147.32593340060546,5.549949545913219,804.2381432896065,943.4914228052472,91,88.2142857142857
233.8085539714868,280.5702647657841,70.14256619144604,139.5112016293279,5.60081466395112,811.6089613034623,952.1384928716903,91,89.68626373626373
235.4871794871795,211.93846153846152,141.29230769230773,133.33333333333334,5.641025641025641,817.4358974358973,958.974358974359,91,94.66593406593407
236.70103092783506,142.02061855670104,213.03092783505153,128.86597938144328,5.6701030927835046,821.6494845360825,963.9175257731958,91,89.42527472527472
237.6811594202899,71.3043478260869,285.21739130434787,125.25879917184265,5.693581780538302,825.0517598343686,967.9089026915115,91,84.06978021978021
238.66943866943868,0,358.00415800415794,121.62162162162163,5.717255717255718,828.4823284823285,971.9334719334719,91,87.9741758241758
354,0,236,165.2,6.49,986,910,3,55.12087912087911
295,0,295,165.2,6.49,986,910,3,46.560439560439555
236,0,354,165.2,6.49,986,910,3,34.76373626373626
472,0,118,165.2,6.49,986,910,3,51.780219780219774
354,0,236,165.2,6.49,986,910,3,47.18681318681318
295,0,295,165.2,6.49,986,910,3,38.521978021978015
236,0,354,165.2,6.49,986,910,3,29.96153846153846
354,0,236,165.2,6.49,986,910,7,61.906593406593394
295,0,295,165.2,6.49,986,910,7,55.747252747252745
236,0,354,165.2,6.49,986,910,7,49.065934065934066
472,0,118,165.2,6.49,986,910,7,62.324175824175825
354,0,236,165.2,6.49,986,910,7,53.972527472527474
295,0,295,165.2,6.49,986,910,7,50.005494505494504
236,0,354,165.2,6.49,986,910,7,40.192307692307686
354,0,236,165.2,6.49,986,910,28,82.99450549450549
295,0,295,165.2,6.49,986,910,28,79.02747252747253
236,0,354,165.2,6.49,986,910,28,62.63736263736263
472,0,118,165.2,6.49,986,910,28,71.6153846153846
354,0,236,165.2,6.49,986,910,28,66.60439560439559
295,0,295,165.2,6.49,986,910,28,63.68131868131868
236,0,354,165.2,6.49,986,910,28,53.65934065934066
354,0,236,165.2,6.49,986,910,91,91.24175824175823
295,0,295,165.2,6.49,986,910,91,86.85714285714286
236,0,354,165.2,6.49,986,910,91,73.28571428571428
472,0,118,165.2,6.49,986,910,91,82.36813186813187
354,0,236,165.2,6.49,986,910,91,75.26923076923076
295,0,295,165.2,6.49,986,910,91,73.9120879120879
236,0,354,165.2,6.49,986,910,91,63.99450549450549
210,140,0,105,8.75,1188.85,826.1500000000001,3,48.3
140,210,0,105,7,1185.8999999999999,824.1000000000001,3,31.9
210,140,0,140,3.5,1135.75,789.25,3,31.9
140,210,0,140,1.75,1129.85,785.1500000000001,3,27.3
210,140,0,175,0,1079.7,750.3,3,24.3
140,210,0,175,0,1070.85,744.1500000000001,3,16.8
240,160,0,120,9.6,1141.6499999999999,793.3500000000001,3,48.5
160,240,0,120,6,1135.75,789.25,3,32.3
240,160,0,160,4,1076.75,748.25,3,33.4
160,240,0,160,2.4,1073.8,746.2,3,26
240,160,0,200,0,1014.8,705.2,3,17.4
160,240,0,200,0,1008.9,701.1,3,14.4
270,180,0,135,9,1085.6,754.4000000000001,3,49.8
180,270,0,135,8.1,1079.7,750.3,3,36.8
270,180,0,180,2.25,1020.6999999999999,709.3000000000001,3,35.9
180,270,0,180,1.35,1014.8,705.2,3,26.9
270,180,0,225,0,949.9,660.1,3,16.7
180,270,0,225,0,944,656,3,13
210,140,0,105,8.75,1188.85,826.1500000000001,7,64.2
140,210,0,105,7,1185.8999999999999,824.1000000000001,7,57.3
210,140,0,140,3.5,1135.75,789.25,7,49.1
140,210,0,140,1.75,1129.85,785.1500000000001,7,46.9
210,140,0,175,0,1079.7,750.3,7,36.9
140,210,0,175,0,1070.85,744.1500000000001,7,28.7
240,160,0,120,9.6,1141.6499999999999,793.3500000000001,7,64.5
160,240,0,120,6,1135.75,789.25,7,58.3
240,160,0,160,4,1076.75,748.25,7,50.6
160,240,0,160,2.4,1073.8,746.2,7,45.6
240,160,0,200,0,1014.8,705.2,7,28.6
160,240,0,200,0,1008.9,701.1,7,23.8
270,180,0,135,9,1085.6,754.4000000000001,7,66.4
180,270,0,135,8.1,1079.7,750.3,7,63.2
270,180,0,180,2.25,1020.6999999999999,709.3000000000001,7,56.3
180,270,0,180,1.35,1014.8,705.2,7,38.6
270,180,0,225,0,949.9,660.1,7,28.3
180,270,0,225,0,944,656,7,20.8
210,140,0,105,8.75,1188.85,826.1500000000001,28,81
140,210,0,105,7,1185.8999999999999,824.1000000000001,28,73.3
210,140,0,140,3.5,1135.75,789.25,28,67.2
140,210,0,140,1.75,1129.85,785.1500000000001,28,61.8
210,140,0,175,0,1079.7,750.3,28,55.9
140,210,0,175,0,1070.85,744.1500000000001,28,45.1
240,160,0,120,9.6,1141.6499999999999,793.3500000000001,28,82
160,240,0,120,6,1135.75,789.25,28,77.8
240,160,0,160,4,1076.75,748.25,28,66.9
160,240,0,160,2.4,1073.8,746.2,28,61.1
240,160,0,200,0,1014.8,705.2,28,51.6
160,240,0,200,0,1008.9,701.1,28,40.1
270,180,0,135,9,1085.6,754.4000000000001,28,83.8
180,270,0,135,8.1,1079.7,750.3,28,80.6
270,180,0,180,2.25,1020.6999999999999,709.3000000000001,28,66.4
180,270,0,180,1.35,1014.8,705.2,28,61.8
270,180,0,225,0,949.9,660.1,28,49.3
180,270,0,225,0,944,656,28,39.5
210,140,0,105,8.75,1188.85,826.1500000000001,91,87.8
140,210,0,105,7,1185.8999999999999,824.1000000000001,91,81.2
210,140,0,140,3.5,1135.75,789.25,91,76.3
140,210,0,140,1.75,1129.85,785.1500000000001,91,74
210,140,0,175,0,1079.7,750.3,91,65.9
140,210,0,175,0,1070.85,744.1500000000001,91,58.3
240,160,0,120,9.6,1141.6499999999999,793.3500000000001,91,88.3
160,240,0,120,6,1135.75,789.25,91,79
240,160,0,160,4,1076.75,748.25,91,77.9
160,240,0,160,2.4,1073.8,746.2,91,75.1
240,160,0,200,0,1014.8,705.2,91,57.9
160,240,0,200,0,1008.9,701.1,91,49.6
270,180,0,135,9,1085.6,754.4000000000001,91,91.4
180,270,0,135,8.1,1079.7,750.3,91,92.5
270,180,0,180,2.25,1020.6999999999999,709.3000000000001,91,81
180,270,0,180,1.35,1014.8,705.2,91,73.4
270,180,0,225,0,949.9,660.1,91,53.4
180,270,0,225,0,944,656,91,49.1
308,0,132,167,8.8,1232,621,28,48
308,0,132,167,8.8,1232,621,90,55
220,0,220,167,8.8,1177,647,28,34
318.5,86.8,130.3,129.4,20.6,888.2,868.5,3,37.14
318.5,86.8,130.3,129.4,20.6,888.2,868.5,7,52.19
318.5,86.8,130.3,129.4,20.6,888.2,868.5,28,59.94
318.5,86.8,130.3,129.4,20.6,888.2,868.5,56,64.61
318.5,86.8,130.3,129.4,20.6,888.2,868.5,91,69.87
318.5,86.8,130.3,134,16,888.2,868.5,3,29.2
318.5,86.8,130.3,134,16,888.2,868.5,7,41.69
318.5,86.8,130.3,134,16,888.2,868.5,28,60.83
318.5,86.8,130.3,134,16,888.2,868.5,56,66.34
318.5,86.8,130.3,134,16,888.2,868.5,91,71.86
318.5,86.8,130.3,127,23,888.2,868.5,3,24.53
318.5,86.8,130.3,127,23,888.2,868.5,7,59.94
318.5,86.8,130.3,127,23,888.2,868.5,28,68.27
318.5,86.8,130.3,127,23,888.2,868.5,56,73.39
318.5,86.8,130.3,127,23,888.2,868.5,91,83.12
244.6,89.7,134.5,130,20,916.9,896.6,3,28.24
244.6,89.7,134.5,130,20,916.9,896.6,7,40.6
244.6,89.7,134.5,130,20,916.9,896.6,28,53.5
244.6,89.7,134.5,130,20,916.9,896.6,56,57.25
244.6,89.7,134.5,130,20,916.9,896.6,91,65.36
244.6,89.7,134.5,136,14,916.9,896.6,3,18.12
244.6,89.7,134.5,136,14,916.9,896.6,7,37.27
244.6,89.7,134.5,136,14,916.9,896.6,28,53.98
244.6,89.7,134.5,136,14,916.9,896.6,56,62.12
244.6,89.7,134.5,136,14,916.9,896.6,91,65.51
244.6,89.7,134.5,130,20,916.9,896.6,3,21.32
244.6,89.7,134.5,130,20,916.9,896.6,7,50.33
244.6,89.7,134.5,130,20,916.9,896.6,28,63.21
244.6,89.7,134.5,130,20,916.9,896.6,56,65.26
244.6,89.7,134.5,130,20,916.9,896.6,91,77.1
187.1,91.8,137.8,130.5,19.5,939.3,918.4,3,20.49
187.1,91.8,137.8,130.5,19.5,939.3,918.4,7,34.01
187.1,91.8,137.8,130.5,19.5,939.3,918.4,28,51.87
187.1,91.8,137.8,130.5,19.5,939.3,918.4,56,54.69
187.1,91.8,137.8,130.5,19.5,939.3,918.4,91,64.64
187.1,91.8,137.8,130.5,19.5,939.3,918.4,3,14.54
187.1,91.8,137.8,130.5,19.5,939.3,918.4,7,33.04
187.1,91.8,137.8,130.5,19.5,939.3,918.4,28,51.81
187.1,91.8,137.8,130.5,19.5,939.3,918.4,56,59.24
187.1,91.8,137.8,130.5,19.5,939.3,918.4,91,63.85
187.1,91.8,137.8,130.5,19.5,939.3,918.4,3,14.92
187.1,91.8,137.8,130.5,19.5,939.3,918.4,7,42.91
187.1,91.8,137.8,130.5,19.5,939.3,918.4,28,52.19
187.1,91.8,137.8,130.5,19.5,939.3,918.4,56,56.74
187.1,91.8,137.8,130.5,19.5,939.3,918.4,91,69.29
141.1,93.6,140.4,132.6,17.4,957.2,935.9,3,16.14
141.1,93.6,140.4,132.6,17.4,957.2,935.9,7,33.55
141.1,93.6,140.4,132.6,17.4,957.2,935.9,28,47.39
141.1,93.6,140.4,132.6,17.4,957.2,935.9,56,54.43
141.1,93.6,140.4,132.6,17.4,957.2,935.9,91,63.52
141.1,93.6,140.4,132.6,17.4,957.2,935.9,3,13.11
141.1,93.6,140.4,132.6,17.4,957.2,935.9,7,28.69
141.1,93.6,140.4,132.6,17.4,957.2,935.9,28,42.65
141.1,93.6,140.4,132.6,17.4,957.2,935.9,56,54.69
141.1,93.6,140.4,132.6,17.4,957.2,935.9,91,59.68
141.1,93.6,140.4,132.6,17.4,957.2,935.9,3,11.66
141.1,93.6,140.4,132.6,17.4,957.2,935.9,7,30.96
141.1,93.6,140.4,132.6,17.4,957.2,935.9,28,48.08
141.1,93.6,140.4,132.6,17.4,957.2,935.9,56,55.97
141.1,93.6,140.4,132.6,17.4,957.2,935.9,91,64.14
318.5,86.8,130.3,132,18,888.2,868.5,3,38.94
318.5,86.8,130.3,132,18,888.2,868.5,7,55.01
318.5,86.8,130.3,132,18,888.2,868.5,28,63.76
318.5,86.8,130.3,132,18,888.2,868.5,56,66.32
318.5,86.8,130.3,132,18,888.2,868.5,91,68.86
318.5,86.8,130.3,136.8,13.2,888.2,868.5,3,41.82
318.5,86.8,130.3,136.8,13.2,888.2,868.5,7,60.45
318.5,86.8,130.3,136.8,13.2,888.2,868.5,28,61.55
318.5,86.8,130.3,136.8,13.2,888.2,868.5,56,62.89
318.5,86.8,130.3,136.8,13.2,888.2,868.5,91,65.06
279.5,88.3,132.5,133,17,903.2,883.2,3,36.05
279.5,88.3,132.5,133,17,903.2,883.2,7,52.96
279.5,88.3,132.5,133,17,903.2,883.2,28,61.73
279.5,88.3,132.5,133,17,903.2,883.2,56,65.28
279.5,88.3,132.5,133,17,903.2,883.2,91,70.05
279.5,88.3,132.5,135,15,903.2,883.2,3,7.17
279.5,88.3,132.5,135,15,903.2,883.2,7,49.95
279.5,88.3,132.5,135,15,903.2,883.2,28,56.54
279.5,88.3,132.5,135,15,903.2,883.2,56,59.62
279.5,88.3,132.5,135,15,903.2,883.2,91,61.73
175,175,0,210,0,952,883,28,51.33
175,175,0,210,0,952,883,90,55.3
176,0,176,211,0,940,872,28,34.2
176,88,88,211,0,951,881,28,42.9
176,88,88,211,0,951,881,90,51.2
222,222,0,168,4.5,945,876,28,89.9
222,222,0,168,4.5,945,876,90,91.5
221,0,221,167,3.4,921,855,28,72.8
221,0,221,167,3.4,921,855,90,78.2
222,111,111,168,4.7,933,865,28,83.1
222,111,111,168,4.7,933,865,90,86.6
261,0,112,180,0,975,810,28,41
261,0,112,172,0,980,815,28,40.5
261,0,112,163,0,980,820,28,46.5
288,0,123,169,0,940,780,28,46
288,0,123,172,0,945,785,28,44
288,0,123,172,0,950,790,28,52
486,0,208,162,13.9,895,555,28,84
486,0,208,153,13.9,905,565,28,72.5
486,0,208,142,13.9,915,570,28,71
308,0,132,141,4.77,1185,661,28,70
264,0,176,136.5,4.75,1185,665,28,65
362,0,155,150,4.8,1185,570,28,92
311,0,207,150,4.24,1185,561,28,89
186,186,0,186,0,1165,655,3,11.3
186,186,0,186,0,1165,655,7,20.7
186,186,0,186,0,1165,655,28,35.3
156,0,216,130,3.6,1209,681,3,14.7
156,0,216,130,3.6,1209,681,7,20
156,0,216,130,3.6,1209,681,28,32.1
204,0,136,163,1.7,1017,752,3,17.8
204,0,136,163,1.7,1017,752,7,24.7
204,0,136,163,1.7,1017,752,28,40.3
204,0,136,163,1.7,1017,752,56,42.5
204,0,136,163,1.7,1017,752,91,51.3
136,0,204,124,3.3,1089,756,3,13.3
273,82,105,210,9,904,680,28,34.99
145,0,227,240,6,750,853,28,36.59
152,0,237,204,6,785,892,28,32.71
304,0,140,214,6,895,722,28,38.46
142,130,167,215,6,735,836,28,31.37
159,116,149,175,15,953,720,28,34.05
295,106,136,206,11,750,766,28,41.01
310,0,143,168,10,914,804,28,49.3
310,0,143,218,10,787,804,28,36.19
140,128,164,183,12,871,775,28,33.38
308,111,142,217,10,783,686,28,42.08
295,106,136,208,6,871,650,28,39.4
298,107,137,201,6,878,655,28,41.27
314,0,161,207,6,851,757,28,41.14
321,0,164,190,5,870,774,28,45.82
349,0,178,230,6,785,721,28,43.95
366,0,187,191,7,824,757,28,52.65
274,89,115,202,9,759,827,28,35.52
137,167,214,226,6,708,757,28,34.45
275,99,127,184,13,810,790,28,43.54
252,76,97,194,8,835,821,28,33.11
158,0,246,174,7,1035,706,28,34.99
156,0,243,180,11,1022,698,28,33.78
145,177,227,209,11,752,715,28,35.66
154,141,181,234,11,797,683,28,33.51
160,146,188,203,11,829,710,28,33.51
318,126,0,210,6,861,737,28,31.77
280,92,118,207,9,883,679,28,37.39
287,94,121,188,9,904,696,28,43.01
326,0,167,174,6,884,792,28,52.65
320,0,163,188,9,866,776,28,45.69
342,136,0,225,11,770,747,28,32.04
356,142,0,193,11,801,778,28,36.46
309,0,142,218,10,912,680,28,38.59
322,0,149,186,8,951,709,28,45.42
278,0,117,205,9,875,799,28,32.71
288,0,121,177,7,908,829,28,39.93
265,86,111,195,6,833,790,28,37.39
159,0,248,175,12,1041,683,28,35.39
160,0,250,168,12,1049,688,28,37.66
166,0,260,183,13,859,827,28,40.34
320,127,164,211,6,721,723,28,46.36
336,134,0,222,6,756,787,28,31.9
276,90,116,180,9,870,768,28,44.08
294,106,136,207,6,747,778,28,41.27
159,0,187,176,11,990,789,28,32.57
261,78,100,201,9,864,761,28,34.18
140,1.4,198.1,174.9,4.4,1049.9,780.5,28,30.83
160.2,0.3,240,233.5,9.2,781,841.1,28,36.19
140.2,30.5,239,169.4,5.3,1028.4,742.7,28,36.32
140.2,44.8,234.9,171.3,5.5,1047.6,704,28,33.78
140.5,61.1,238.9,182.5,5.7,1017.7,681.4,28,30.97
194.3,0.3,240,234.2,8.9,780.6,811.3,28,38.46
150.4,110.9,239.7,168.1,6.5,1000.2,667.2,28,37.92
150.3,111.4,238.8,167.3,6.5,999.5,670.5,28,38.19
155.4,122.1,240,179.9,6.7,966.8,652.5,28,35.52
165.3,143.2,238.3,200.4,7.1,883.2,652.6,28,32.84
303.8,0.2,239.8,236.4,8.3,780.1,715.3,28,44.48
215.6,112.9,239,198.7,7.4,884,649.1,28,39.13
295.3,0,239.9,236.2,8.3,780.3,722.9,28,44.08
248.3,101,239.1,168.9,7.7,954.2,640.6,28,49.97
248,101,239.9,169.1,7.7,949.9,644.1,28,50.23
258.8,88,239.6,175.3,7.6,938.9,646,28,50.5
297.1,40.9,239.9,194,7.5,908.9,651.8,28,49.17
348.7,0.1,223.1,208.5,9.6,786.2,758.1,28,48.77
420,180,0,156,9.6,1134,610,3,69.3
420,180,0,156,9.6,1134,610,7,83.2
420,180,0,156,9.6,1134,610,28,100.4
308,0,132,141,4.77,1185,661,3,45
308,0,132,141,4.77,1185,661,7,58
308,0,132,141,4.77,1185,661,28,73
308,0,132,141,4.77,1185,661,56,90
308,0,132,141,4.77,1185,661,91,92
264,0,176,136.5,4.75,1185,665,3,41
264,0,176,136.5,4.75,1185,665,7,50
264,0,176,136.5,4.75,1185,665,28,67
264,0,176,136.5,4.75,1185,665,56,88
264,0,176,136.5,4.75,1185,665,91,89
362,0,155,150,4.8,1185,570,3,43
362,0,155,150,4.8,1185,570,7,58
362,0,155,150,4.8,1185,570,28,73
362,0,155,150,4.8,1185,570,56,91
362,0,155,150,4.8,1185,570,91,95
311,0,207,150,4.24,1185,561,3,40
311,0,207,150,4.24,1185,561,7,50
311,0,207,150,4.24,1185,561,28,68
311,0,207,150,4.24,1185,561,56,86
311,0,207,150,4.24,1185,561,91,87
350,0,150,175,0.24,822,806,28,31.5
350,150,0,175,0.48,844,828,28,34.5
250,250,0,175,0.59,840,824,28,33
150,350,0,175,0.63,836,820,28,31
200,200,0,160,6.800000000000001,854,959,28,41.9
200,200,0,160,6.800000000000001,854,959,90,54.6
160,240,0,160,6.800000000000001,850,955,28,38.3
160,240,0,160,6.800000000000001,850,955,90,51.8
